!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 3.0mm H2O, airmass=2.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0150   2254.0  -3.010  3.980   0.207   1.000  10.899  10.070   9.542   9.055   9.534  10.985  10.690  10.344   9.819   9.542   9.188   9.379   9.226   8.850   8.954   8.844   9.669  10.102    9.322    8.797   9.265   9.168  10.443   9.721 
  0.0200   2504.0  -2.640  3.930   0.255   1.000   9.884   9.205   8.706   8.279   8.700   9.970   9.694   9.383   9.013   8.708   8.430   8.555   8.427   8.106   8.203   8.086   8.803   9.232    8.500    8.060   8.493   8.384   9.537   8.927 
  0.0300   2702.0  -2.230  3.810   0.355   1.000   8.798   8.199   7.702   7.325   7.697   8.883   8.622   8.335   8.039   7.709   7.470   7.561   7.458   7.173   7.266   7.147   7.787   8.229    7.517    7.130   7.525   7.428   8.518   7.960 
  0.0400   2798.0  -2.070  3.840   0.396   1.000   8.403   7.833   7.325   6.976   7.320   8.486   8.236   7.957   7.683   7.332   7.109   7.190   7.102   6.832   6.921   6.805   7.404   7.864    7.157    6.791   7.160   7.075   8.147   7.608 
  0.0500   2882.0  -1.990  3.910   0.412   1.000   8.198   7.645   7.127   6.803   7.122   8.278   8.036   7.763   7.502   7.133   6.918   6.997   6.926   6.662   6.749   6.637   7.203   7.676    6.978    6.622   6.967   6.901   7.955   7.428 
  0.0550   2914.0  -1.950  3.930   0.421   1.000   8.105   7.559   7.037   6.721   7.032   8.184   7.946   7.675   7.419   7.042   6.832   6.909   6.842   6.583   6.668   6.558   7.111   7.591    6.893    6.544   6.879   6.818   7.868   7.346 
  0.0600   2938.0  -1.910  3.940   0.434   1.000   8.003   7.463   6.937   6.627   6.932   8.081   7.847   7.578   7.325   6.941   6.735   6.809   6.746   6.491   6.574   6.467   7.009   7.495    6.796    6.452   6.780   6.723   7.770   7.252 
  0.0700   2981.0  -1.830  3.960   0.461   1.000   7.810   7.280   6.745   6.447   6.741   7.886   7.658   7.392   7.145   6.749   6.550   6.620   6.562   6.314   6.394   6.291   6.815   7.312    6.611    6.276   6.592   6.540   7.585   7.073 
  0.0720   2988.0  -1.810  3.960   0.468   1.000   7.767   7.239   6.702   6.406   6.698   7.843   7.616   7.350   7.104   6.706   6.508   6.578   6.521   6.274   6.353   6.251   6.772   7.271    6.570    6.236   6.549   6.499   7.544   7.033 
  0.0750   2998.0  -1.790  3.960   0.476   1.000   7.717   7.190   6.650   6.357   6.646   7.792   7.566   7.301   7.056   6.654   6.457   6.527   6.472   6.226   6.304   6.203   6.719   7.222    6.520    6.188   6.498   6.449   7.494   6.985 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.010
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0030    920.0  -4.910  3.630   0.139   1.000  15.639  14.883  14.559  14.356  14.553  15.737  15.239  15.655  14.171  13.992  14.490  15.037  13.932  15.058  14.065  15.356  13.995  14.787   13.904   15.177  14.212  13.897  15.140  14.148 
  0.0040   1064.0  -4.640  3.740   0.141   1.000  15.162  14.350  13.570  13.424  13.562  15.261  14.837  14.811  13.811  13.198  13.286  13.791  13.132  13.801  13.131  14.067  13.292  14.252   13.145   13.864  13.161  13.079  14.753  13.766 
  0.0050   1193.0  -4.430  3.820   0.144   1.000  15.024  14.130  12.964  12.483  12.955  15.124  14.753  14.410  13.738  12.775  12.607  12.910  12.357  12.541  12.226  12.733  12.898  14.083   12.409   12.544  12.602  12.289  14.680  13.675 
  0.0060   1316.0  -4.240  3.880   0.147   1.000  14.804  13.868  12.600  11.835  12.592  14.912  14.561  14.083  13.564  12.485  12.312  12.445  11.801  11.787  11.626  11.920  12.584  13.853   11.865   11.765  12.331  11.733  14.508  13.495 
